time, Quad1.PosFollowErr, Quad2.PosFollowErr, Quad3.PosFollowErr
0.689995,0.606478,0.337174,0.317057
0.694995,0.586815,0.324201,0.304276
0.699995,0.573804,0.315791,0.295990
0.704994,0.554440,0.303536,0.283916
0.709994,0.541636,0.295607,0.276103
0.714994,0.522591,0.284074,0.264741
0.719994,0.510005,0.276627,0.257406
0.724994,0.491299,0.265821,0.246764
0.729994,0.478945,0.258861,0.239912
0.734994,0.460596,0.248786,0.230001
0.739994,0.448485,0.242313,0.223639
0.744994,0.430509,0.232970,0.214462
0.749994,0.418655,0.226984,0.208589
0.754994,0.401071,0.218375,0.200148
0.759994,0.389485,0.212883,0.194767
0.764994,0.372316,0.205017,0.187067
0.769994,0.361012,0.200022,0.182181
0.774994,0.344278,0.192906,0.175221
0.779994,0.333273,0.188411,0.170831
0.784993,0.316998,0.182038,0.164621
0.789993,0.306307,0.178030,0.160731
0.794993,0.290518,0.172376,0.155269
0.799993,0.280163,0.168839,0.151873
0.804993,0.264894,0.163874,0.147145
0.809993,0.254899,0.160785,0.144231
0.814993,0.240194,0.156473,0.140209
0.819993,0.230591,0.153806,0.137753
0.824993,0.216504,0.150105,0.134397
0.829993,0.207336,0.147829,0.132370
0.834993,0.193940,0.144690,0.129632
0.839993,0.185262,0.142772,0.128001
0.844993,0.172657,0.140142,0.125834
0.849993,0.164548,0.138546,0.124567
0.854993,0.152872,0.136375,0.122917
0.859993,0.145442,0.135069,0.121975
0.864992,0.134889,0.133310,0.120787
0.869992,0.128289,0.132266,0.120136
0.874992,0.119126,0.130881,0.119359
0.879992,0.113563,0.130072,0.118965
0.884992,0.106139,0.129020,0.118549
0.889992,0.101865,0.128420,0.118380
0.894992,0.096575,0.127660,0.118274
0.899992,0.093848,0.127242,0.118295
0.904992,0.091025,0.126736,0.118451
0.909992,0.090005,0.126473,0.118631
0.914992,0.089752,0.126182,0.119004
0.919992,0.090397,0.126051,0.119316
0.924992,0.092477,0.125940,0.119868
0.929992,0.094528,0.125919,0.120287
0.934992,0.098453,0.125956,0.120983
0.939991,0.101548,0.126023,0.121486
0.944991,0.106767,0.126178,0.122291
0.949991,0.110558,0.126314,0.122855
0.954991,0.116597,0.126559,0.123736
0.959991,0.120804,0.126745,0.124341
0.964991,0.127304,0.127051,0.125268
0.969991,0.131724,0.127270,0.125895
0.974991,0.138427,0.127612,0.126841
0.979991,0.142917,0.127846,0.127472
0.984991,0.149643,0.128199,0.128412
0.989991,0.154105,0.128432,0.129030
0.994991,0.160737,0.128773,0.129940
0.999991,0.165106,0.128991,0.130531
1.004991,0.171561,0.129298,0.131388
1.009991,0.175789,0.129486,0.131937
1.014991,0.182002,0.129739,0.132722
1.019992,0.186052,0.129885,0.133218
1.024992,0.191977,0.130065,0.133912
1.029992,0.195823,0.130157,0.134341
1.034992,0.201430,0.130249,0.134927
1.039993,0.205054,0.130277,0.135279
1.044993,0.210312,0.130266,0.135743
1.049993,0.213696,0.130220,0.136009
1.054993,0.218585,0.130092,0.136339
1.059994,0.221718,0.129965,0.136511
1.064994,0.226224,0.129709,0.136696
1.069994,0.229099,0.129494,0.136768
1.074994,0.233213,0.129101,0.136798
1.079994,0.235823,0.128792,0.136766
1.084995,0.239535,0.128255,0.136637
1.089995,0.241873,0.127848,0.136496
1.094995,0.245173,0.127161,0.136201
1.099995,0.247234,0.126651,0.135948
1.104996,0.250117,0.125809,0.135483
1.109996,0.251899,0.125195,0.135116
1.114996,0.254362,0.124196,0.134481
1.119996,0.255864,0.123478,0.134001
1.124997,0.257905,0.122324,0.133196
1.129997,0.259124,0.121503,0.132604
1.134997,0.260737,0.120196,0.131632
1.139997,0.261668,0.119275,0.130931
1.144997,0.262848,0.117818,0.129799
1.149998,0.263489,0.116799,0.128992
1.154998,0.264231,0.115200,0.127706
1.159998,0.264579,0.114089,0.126801
1.164998,0.264882,0.112356,0.125372
1.169999,0.264939,0.111159,0.124374
